tid,topicId,replies,favorite,support,historyPV,yesterdayPV/yesterdayUV,yesterdayUV,dateline
7726135,32,459,0,0,40198,1,1,168322101
11953246,2,33,,2,2627,1,1,19247799
12366412,1,1,0,0,106,1,1,255712
11952539,2,51,,1,5836,1,1,19288757
11990265,25,2,0,0,2527,1,1,16148479
12303138,7,21,,1,1273,1,2,1978400
11851755,7,17,,0,3208,1,1,25614999
12162383,12,1,0,0,916,1,1,6495282
12005999,25,2,0,0,2826,1,1,14702433
7337267,16,364,,0,218841,1,1,175873081
8178756,,12,0,0,3523,1,1,154698053
11821255,4,17,,0,1656,1,1,28561620
12216383,2,28,,0,3272,1,1,4394089
11937607,2,3,0,0,627,1,1,20188366
12145591,7,25,,0,617,1,1,7187431
11846270,23,10,0,0,2358,1,1,26185110
12133471,4,3,0,0,191,1,1,7772032
11910613,23,71,,0,9097,1,1,21891621
11953253,2,45,,1,7230,1,1,19247298
11957802,12,4,0,0,4538,1,1,18901284
10887099,23,678,,106,261693,1,1,84028977
12008250,12,9,0,0,2573,1,1,14513887
12110878,7,22,,1,829,1,1,8729367
11979559,1,8,0,0,998,1,1,17110607
8221804,16,82,0,0,10771,1,1,153114557
11898580,12,9,,1,3100,1,1,22730015
12117176,2,2,0,0,323,1,1,8436893
12210635,7,20,0,0,939,1,1,4556311
11791703,12,0,0,2,1731,1,1,30221499
11968562,21,9,0,0,2143,2,1,18017988
12035964,1,6,,0,793,1,1,12021558
11972299,12,20,,0,5827,1,1,17703292
11820899,6,45,,0,2958,1,1,28583984
11819147,3,5,0,2,733,1,1,28706148
11672896,27,9,,4,12240,1,1,41243446
11936114,1,20,0,0,1277,1,1,20272875
12137836,7,15,0,0,1374,1,1,7592279
11916034,2,20,,0,2648,1,1,21511791
11932991,2,27,0,1,1852,1,1,20471134
12284284,2,2,0,0,243,1,1,2689673
12294705,30,8,0,0,395,1,1,2236156
11772201,7,9,0,0,970,1,1,31166037
11908142,4,3,0,1,525,1,1,22053881
12116870,1,2,0,0,393,1,1,8451534
12125226,7,32,,2,1271,1,1,8098197
11873334,30,12,0,0,1202,1,1,24195864
11969803,1,2,0,0,701,1,1,17895569
8197685,,8,0,0,8948,1,1,154015149
12297965,36,1,0,0,1336,1,1,2123339
12367029,2,7,0,0,377,1,1,189996
12221887,2,0,0,0,172,1,1,4241925
11942896,1,12,0,1,2797,1,1,19894286
8181520,,4,0,0,915,1,1,154568918
12209343,2,10,0,0,348,1,1,4577916
11734084,7,0,0,0,306,1,1,35012832
11877864,3,9,,0,932,1,1,24011061
12229773,,0,0,0,215,1,1,4061412
11330662,32,6,,0,668,1,1,63840856
12188943,7,27,,0,2045,1,1,5284497
11887615,2,26,,2,3743,1,1,23539316
12198561,2,4,0,0,584,1,1,4910615
12266899,6,48,0,0,2869,1,1,3431384
11824361,4,8,0,4,552,1,1,28259715
8181562,9,23,0,0,5011,1,1,154567779
11985312,2,3,0,0,643,1,1,16595530
12074795,4,496,,78,23139,1,1,10338183
12019101,30,5,0,0,259,1,1,13711911
11774686,3,9,0,0,1160,1,1,30925625
11973472,12,23,0,0,3787,2,1,17624694
11986298,2,31,,0,3066,1,1,16508323
11944945,30,10,,0,728,1,1,19783606
12083085,6,1,0,0,554,1,1,9996881
11456936,4,57,,4,28531,1,1,55036982
12017117,30,1,0,0,292,2,1,13906735
12020148,1,13,0,0,983,1,1,13593968
12014290,7,8,0,0,2089,1,1,14075681
12272635,2,14,,0,235,1,1,3202603
12367043,7,7,,0,223,1,1,189356
11930091,4,19,,2,1960,1,1,20634707
12305229,36,1,0,0,611,1,1,1894298
11940789,12,19,0,1,1215,1,1,20021091
12299280,36,11,,0,1051,1,1,2073773
11979536,1,0,0,0,219,1,1,17112406
12243737,2,2,0,0,97,1,1,3871983
12003439,,1,0,0,1694,1,1,14943817
12195616,4,20,,2,1487,1,1,5014088
12138546,7,6,0,0,840,1,1,7563406
12063257,4,1,0,0,239,1,1,10692873
12272952,2,5,0,0,159,1,1,3191799
12216319,4,12,,4,1230,1,1,4396376
12197177,4,4,0,0,580,1,1,4950224
12350930,1,2,0,0,232,1,1,785049
12288113,2,20,0,0,382,1,1,2521653
12196839,2,0,0,0,33,1,1,4979414
12156104,7,0,0,0,158,1,1,6713270
12200093,4,22,,0,2576,1,1,4852304
12252368,2,7,0,0,221,1,1,3719186
12301521,6,4,0,0,1088,1,1,2008009
12302921,30,15,0,0,566,1,1,1982538
11191210,24,3,,2,969,1,1,70952710
12029318,3,5,0,0,410,1,1,12751812
11841372,6,1,0,4,231,1,1,26682355
12129184,4,28,,0,1146,1,1,7944385
12227174,23,59,,1,7326,1,1,4124365
12111301,,2,,0,471,1,1,8715801
12272756,7,15,0,0,581,1,1,3197182
11716261,23,6,0,0,481,1,1,37121660
12035720,7,14,0,0,555,1,1,12049936
12307961,7,30,,0,1069,1,1,1751256
8166739,9,294,,98,471801,1,1,155165877
11985673,2,5,,0,641,1,1,16568519
12004446,30,6,0,0,484,1,1,14854656
10948614,4,12,,2,4649,1,1,81480989
12060852,4,9,0,0,843,1,2,10763078
8136876,9,1145,,16,422319,1,1,156261785
12110892,6,13,0,0,905,1,1,8728787
12356293,,2,0,0,562,1,2,715477
12360155,7,7,,0,798,1,1,597246
12365176,2,5,0,0,312,1,1,352174
12210391,2,8,0,0,233,1,1,4559806
12183010,7,18,0,0,791,1,1,5610698
9826683,8,3,,0,768,1,1,120441958
11933658,6,10,0,0,741,1,1,20412014
12145984,2,166,,1,8715,1,1,7171399
12121154,7,6,0,0,236,1,1,8208994
12080110,8,3,,0,1067,1,1,10115918
11839356,,0,0,0,228,1,1,26871721
8289091,9,0,0,0,1161,1,1,150819351
12166743,7,20,,1,1266,1,1,6328192
12285170,30,13,,0,582,1,1,2671531
11992649,7,21,,1,3365,1,1,15920386
12300303,12,3,0,0,652,1,1,2057225
8380602,,4,,0,2436,1,1,149098958
11868351,30,3,,0,401,1,1,24384533
11786734,6,5,0,4,472,1,1,30470789
12085043,4,26,,0,1455,1,1,9918814
12349056,21,0,0,0,329,1,1,884731
12081443,4,59,,9,6456,1,1,10066920
11796753,16,15,0,0,4621,1,1,29885076
12088076,4,31,,11,2761,3,1,9785084
101194,,9,0,18,5075,1,1,352790019
12068676,7,8,,0,413,1,1,10530286
12313439,7,6,0,0,144,2,1,1459202
12252442,24,4,,1,1428,1,1,3718484
11808679,,0,0,0,18,2,1,29086894
12364760,,0,0,0,4,1,1,368079
11855040,30,5,0,0,367,1,1,25161153
12216582,7,14,,0,1817,1,1,4385222
12189590,8,17,,0,3011,1,1,5261149
12082433,30,0,0,0,141,1,1,10016574
12351477,7,5,0,0,274,1,1,760061
12008899,2,91,,4,6236,1,1,14447502
12207188,2,18,,1,1614,1,1,4646443
12267380,30,4,0,1,378,1,1,3410586
12151528,7,4,0,0,577,1,1,6892055
2096971,,62,,0,25232,1,2,257309106
12305665,30,5,0,0,242,1,1,1885101
12294981,30,5,0,0,108,1,1,2220226
12180276,7,5,0,0,497,1,1,5749573
12177134,23,88,0,0,7004,1,1,5889618
12140710,4,15,,1,915,1,1,7452929
11905891,6,84,,5,19851,1,1,22218549
2100512,,51,,0,9183,1,1,257272631
12146366,7,31,,3,3217,1,1,7153082
12265869,30,6,0,0,306,1,1,3441907
12100307,1,0,0,0,242,1,1,9238633
12230255,2,20,,1,1440,1,1,4047288
12301856,6,12,0,0,829,1,1,2001292
2807641,,38,,0,6485,1,1,246491584
12303954,23,41,0,0,2259,1,1,1953114
12006513,7,50,,0,5184,1,1,14671916
12183579,7,13,0,0,1599,1,1,5588726
12308616,30,12,0,0,308,1,1,1727218
12093608,1,6,0,0,271,1,1,9521609
12278522,4,7,,0,1007,1,1,2928084
12125193,7,13,,0,1177,1,1,8098939
11963421,1,11,0,0,2096,1,1,18420058
11991703,2,48,,7,7318,2,1,15996212
12365677,1,2,0,0,136,1,1,325658
11957395,4,19,0,0,5389,1,1,18929826
12191378,30,9,0,0,710,1,1,5172101
11804612,7,2,,0,298,1,1,29336871
12119571,7,8,,0,845,1,1,8291135
12163851,1,12,0,0,1446,1,1,6456599
12162997,7,6,0,0,218,1,1,6479339
7592032,9,445,,0,280256,1,1,171743651
12180656,2,62,,2,3968,1,1,5714984
3336481,32,6,0,0,570,1,1,239654594
12324219,7,14,,1,948,1,1,1205920
12357361,2,217,,2,5061,1,1,699586
11896261,7,55,,0,8008,1,1,22903818
11832454,4,8,0,0,1072,1,1,27535350
12104630,2,144,,1,4353,1,1,9045984
5569151,,3,0,0,604,1,1,207299981
12099251,4,31,,1,2456,1,1,9284108
12069889,2,15,0,0,988,1,1,10482298
4103733,,13,,0,1142,1,1,231448243
12091276,7,3,0,0,249,1,1,9652668
11892700,7,4,,1,492,1,1,23181915
11878275,30,12,0,1,1334,1,1,23995795
12327023,7,42,,4,1836,1,1,1168825
11939324,1,34,0,0,9332,1,1,20099347
11925948,3,11,0,1,617,1,1,20826662
12245792,30,0,0,0,159,1,1,3815985
12350445,3,6,0,0,1019,1,1,808350
12151668,7,17,,2,972,1,1,6887286
12364150,2,2,0,0,276,1,1,413312
12032416,1,0,0,0,806,1,1,12363674
11986873,5,7,0,0,1995,1,1,16470754
12155329,25,4,0,0,1832,1,1,6730428
12350425,3,7,0,0,844,1,1,821861
7420742,9,512,,0,327548,1,1,173939203
